NOME;CPF;EMAIL;INGRESSO;STATUS;CHECKOUT;"DATA COMPRA";TIPO;VALOR;DESCONTO;SALES;SACOLA
"Daphney Hawwwwmmes Oliveira";28218602003;9723724coasdrine.mohr@example.org;T5I3BA4VPGPIE2C;CANCELADO;;"2023-10-27 23:30:05";CARTÃO;"R$ 5.00";"R$ ";SO479FYRQI7O57Z;CTO7V4A58RY25CR
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;T909DP1O83490W7;CANCELADO;;"2023-10-27 23:30:05";CARTÃO;"R$ 50.00";"R$ ";SO479FYRQI7O57Z;CTO7V4A58RY25CR
"Daphney Hawwwwmmes Oliveira";28218602003;9723724coasdrine.mohr@example.org;T9B11X37D565UA2;CANCELADO;;"2023-10-27 23:30:05";CARTÃO;"R$ 5.00";"R$ ";SO479FYRQI7O57Z;CTO7V4A58RY25CR
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;T12GF8EQY74CDI2;CANCELADO;;"2023-10-27 23:30:05";CARTÃO;"R$ 5.00";"R$ ";SO479FYRQI7O57Z;CTO7V4A58RY25CR
"Daphney Hawwwwmmes Oliveira";28218602003;9723724coasdrine.mohr@example.org;TY3BRWWICZ38626;DISPONÍVEL;;"2023-12-21 00:06:27";CARTÃO;"R$ 5.00";"R$ ";S9BR9IBOX320MXP;C89Y9DFIEU534E8
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;T749226W8A4657A;DISPONÍVEL;;"2023-12-21 00:06:27";CARTÃO;"R$ 10.00";"R$ ";S9BR9IBOX320MXP;C89Y9DFIEU534E8
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;TACO10Z64A2B5R7;DISPONÍVEL;;"2023-12-21 00:35:00";CARTÃO;"R$ 5.00";"R$ ";SWTW1Y16G39RI97;C3641562T7DI2W7
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;TW925VER96W670D;CANCELADO;;"2023-12-21 00:56:58";CARTÃO;"R$ 5.00";"R$ ";S6ZR59R9O1YUWO3;CYT46M6V81WGWVE
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;TYAO19QQM8T0RM6;CANCELADO;;"2023-12-21 00:57:07";CARTÃO;"R$ 5.00";"R$ ";S8M52894UPUI840;CQ95W7W2C7FA9AV
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;TB7U38W4F5GR2YP;DISPONÍVEL;;"2023-12-21 14:16:04";CARTÃO;"R$ 5.00";"R$ ";SY17E2X352O729X;CP28C34YW7BPW0O
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;T5RZ007V68E3V18;DISPONÍVEL;;"2023-12-21 14:16:43";CARTÃO;"R$ 5.00";"R$ ";S0FWEV933Q99X7U;CA83QA4WE9FCP45
"marai da pesweqawpewwpesweqaw";75147295267;IgorSousaCavalcanti@dayrep.com;T7GMAIPZ0083ZE6;CANCELADO;;"2023-12-21 14:16:53";CARTÃO;"R$ 5.00";"R$ ";SOEOGOIMX2EQ0C6;C0PB50E1Z73CGVM
